ID,CLASS
ISIC_0055289,6
ISIC_0062682,6
ISIC_0057706,6
ISIC_0031702,6
ISIC_0069272,6
ISIC_0010000,6
ISIC_0027623,6
ISIC_0029736,6
ISIC_0025118,6
ISIC_0029920,6
ISIC_0059046,6
ISIC_0069197,6
ISIC_0058071,6
ISIC_0062931,6
ISIC_0029808,6
ISIC_0027485,6
ISIC_0031511,6
ISIC_0033772,6
ISIC_0067674,6
ISIC_0064315,6
ISIC_0070953,6
ISIC_0033430,6
ISIC_0024883,6
ISIC_0072123,6
ISIC_0014695,6
ISIC_0033374,6
ISIC_0062892,6
ISIC_0056861,6
ISIC_0059199,6
ISIC_0013644,6
ISIC_0054074,6
ISIC_0053711,6
ISIC_0030440,6
ISIC_0026464,6
ISIC_0029265,6
ISIC_0059527,6
ISIC_0067734,6
ISIC_0058513,6
ISIC_0059118,6
ISIC_0071335,6
ISIC_0068607,6
ISIC_0014178,6
ISIC_0032098,6
ISIC_0070227,6
ISIC_0059617,6
ISIC_0011139,6
ISIC_0000137,6
ISIC_0065880,6
ISIC_0024431,6
ISIC_0026881,6
ISIC_0065249,6
ISIC_0065022,6
ISIC_0059267,6
ISIC_0026680,6
ISIC_0059418,6
ISIC_0061723,6
ISIC_0033383,6
ISIC_0026130,6
ISIC_0032815,6
ISIC_0014336,6
ISIC_0029929,6
ISIC_0058180,6
ISIC_0028143,6
ISIC_0067280,6
ISIC_0068374,6
ISIC_0066505,6
ISIC_0065082,6
ISIC_0026975,6
ISIC_0030080,6
ISIC_0013434,6
ISIC_0057172,6
ISIC_0062655,6
ISIC_0061832,6
ISIC_0072856,6
ISIC_0010046,6
ISIC_0061829,6
ISIC_0069291,6
ISIC_0058514,6
ISIC_0010357,6
ISIC_0060823,6
ISIC_0034285,6
ISIC_0026055,6
ISIC_0025394,6
ISIC_0055630,6
ISIC_0033196,6
ISIC_0030933,6
ISIC_0027324,6
ISIC_0027585,6
ISIC_0027182,6
ISIC_0034257,6
ISIC_0058298,6
ISIC_0031359,6
ISIC_0055876,6
ISIC_0053559,6
ISIC_0072257,6
ISIC_0056663,6
ISIC_0056521,6
ISIC_0025514,6
ISIC_0012887,6
ISIC_0033299,6
ISIC_0027422,6
ISIC_0029194,6
ISIC_0032613,6
ISIC_0032288,6
ISIC_0033218,6
ISIC_0033611,6
ISIC_0025420,6
ISIC_0031920,6
ISIC_0054796,6
ISIC_0000226,6
ISIC_0071975,6
ISIC_0028787,6
ISIC_0058538,6
ISIC_0055381,6
ISIC_0029922,6
ISIC_0010227,6
ISIC_0059943,6
ISIC_0032722,6
ISIC_0004337,6
ISIC_0013584,6
ISIC_0032830,6
ISIC_0026775,6
ISIC_0033284,6
ISIC_0072176,6
ISIC_0031676,6
ISIC_0067750,6
ISIC_0029098,6
ISIC_0027280,6
ISIC_0056189,6
ISIC_0055645,6
ISIC_0030068,6
ISIC_0060317,6
ISIC_0057693,6
ISIC_0014179,6
ISIC_0059361,6
ISIC_0028480,6
ISIC_0026263,6
ISIC_0032044,6
ISIC_0010171,6
ISIC_0030170,6
ISIC_0031959,6
ISIC_0026683,6
ISIC_0033591,6
ISIC_0031284,6
ISIC_0062935,6
ISIC_0034282,6
ISIC_0070380,6
ISIC_0054226,6
ISIC_0053521,6
ISIC_0013803,6
ISIC_0025991,6
ISIC_0010071,6
ISIC_0014543,6
ISIC_0033253,6
ISIC_0034190,6
ISIC_0030885,6
ISIC_0026201,6
ISIC_0028711,6
ISIC_0057672,6
ISIC_0071559,6
ISIC_0014612,6
ISIC_0011132,6
ISIC_0012693,6
ISIC_0058191,6
ISIC_0029410,6
ISIC_0056113,6
ISIC_0033366,6
ISIC_0070392,6
ISIC_0002647,6
ISIC_0059029,6
ISIC_0030662,6
ISIC_0067286,6
ISIC_0027462,6
ISIC_0071460,6
ISIC_0063179,6
ISIC_0030935,6
ISIC_0030335,6
ISIC_0029323,6
ISIC_0030908,6
ISIC_0067136,6
ISIC_0029796,6
ISIC_0027526,6
ISIC_0069873,6
ISIC_0071468,6
ISIC_0057385,6
ISIC_0067614,6
ISIC_0065233,6
ISIC_0030874,6
ISIC_0028637,6
ISIC_0033613,6
ISIC_0062784,6
ISIC_0032209,6
ISIC_0055993,6
ISIC_0058808,6
ISIC_0030090,6
ISIC_0059008,6
ISIC_0026563,6
ISIC_0072871,6
ISIC_0032942,6
ISIC_0055000,6
ISIC_0072287,6
ISIC_0032833,6
ISIC_0027949,6
ISIC_0024454,6
ISIC_0061423,6
ISIC_0014037,6
ISIC_0068184,6
ISIC_0029574,6
ISIC_0031064,6
ISIC_0032359,6
ISIC_0058429,6
ISIC_0067252,6
ISIC_0070643,6
ISIC_0025423,6
ISIC_0030065,6
ISIC_0067584,6
ISIC_0015118,6
ISIC_0032001,6
ISIC_0034239,6
ISIC_0063768,6
ISIC_0032307,6
ISIC_0033957,6
ISIC_0024550,6
ISIC_0063687,6
ISIC_0026063,6
ISIC_0000301,6
ISIC_0062559,6
ISIC_0061751,6
ISIC_0031169,6
ISIC_0070805,6
ISIC_0024704,6
ISIC_0072139,6
ISIC_0030539,6
ISIC_0033754,6
ISIC_0056411,6
ISIC_0012785,6
ISIC_0068770,6
ISIC_0032190,6
ISIC_0058344,6
ISIC_0060943,6
ISIC_0054448,6
ISIC_0066872,6
ISIC_0000327,6
ISIC_0027540,6
ISIC_0059968,6
ISIC_0057635,6
ISIC_0033781,6
ISIC_0025187,6
ISIC_0072825,6
ISIC_0069094,6
ISIC_0071632,6
ISIC_0029807,6
ISIC_0016066,6
ISIC_0026349,6
ISIC_0068656,6
ISIC_0033288,6
ISIC_0030198,6
ISIC_0032485,6
ISIC_0069471,6
ISIC_0030759,6
ISIC_0058723,6
ISIC_0069577,6
ISIC_0062868,6
ISIC_0055287,6
ISIC_0029434,6
ISIC_0070404,6
ISIC_0015938,6
ISIC_0026219,6
ISIC_0065169,6
ISIC_0026214,6
ISIC_0068177,6
ISIC_0056303,6
ISIC_0032764,6
ISIC_0057812,6
ISIC_0030324,6
ISIC_0027465,6
ISIC_0059235,6
ISIC_0025475,6
ISIC_0071176,6
ISIC_0030555,6
ISIC_0025623,6
ISIC_0065746,6
ISIC_0070460,6
ISIC_0063951,6
ISIC_0010461,6
ISIC_0069937,6
ISIC_0066390,6
ISIC_0070751,6
ISIC_0026444,6
ISIC_0063801,6
ISIC_0068353,6
ISIC_0028458,6
ISIC_0071751,6
ISIC_0058857,6
ISIC_0066395,6
ISIC_0003539,6
ISIC_0060601,6
ISIC_0031912,6
ISIC_0068116,6
ISIC_0067488,6
ISIC_0025266,6
ISIC_0030085,6
ISIC_0053599,6
ISIC_0059063,6
ISIC_0031450,6
ISIC_0030798,6
ISIC_0030444,6
ISIC_0066214,6
ISIC_0024931,6
ISIC_0010191,6
ISIC_0063290,6
ISIC_0033080,6
ISIC_0024909,6
ISIC_0057237,6
ISIC_0030016,6
ISIC_0027297,6
ISIC_0069038,6
ISIC_0028106,6
ISIC_0069929,6
ISIC_0068676,6
ISIC_0062087,6
ISIC_0068434,6
ISIC_0028401,6
ISIC_0069235,6
ISIC_0062712,6
ISIC_0033944,6
ISIC_0064733,6
ISIC_0033561,6
ISIC_0064761,6
ISIC_0070068,6
ISIC_0070297,6
ISIC_0025047,6
ISIC_0028158,6
ISIC_0001286,6
ISIC_0063076,6
ISIC_0026506,6
ISIC_0061230,6
ISIC_0032060,6
ISIC_0000006,6
ISIC_0030395,6
ISIC_0030604,6
ISIC_0025396,6
ISIC_0062664,6
ISIC_0064357,6
ISIC_0067251,6
ISIC_0012290,6
ISIC_0056501,6
ISIC_0053812,6
ISIC_0028237,6
ISIC_0027047,6
ISIC_0033769,6
ISIC_0030582,6
ISIC_0027380,6
ISIC_0034088,6
ISIC_0054592,6
ISIC_0025289,6
ISIC_0027397,6
ISIC_0031234,6
ISIC_0033093,6
ISIC_0032103,6
ISIC_0028430,6
ISIC_0031245,6
ISIC_0011146,6
ISIC_0057694,6
ISIC_0069181,6
ISIC_0030968,6
ISIC_0067639,6
ISIC_0057794,6
ISIC_0062513,6
ISIC_0031011,6
ISIC_0053456,6
ISIC_0066826,6
ISIC_0070727,6
ISIC_0069215,6
ISIC_0059869,6
ISIC_0062724,6
ISIC_0025791,6
ISIC_0025593,6
ISIC_0030956,6
ISIC_0028385,6
ISIC_0067205,6
ISIC_0070356,6
ISIC_0025368,6
ISIC_0031432,6
ISIC_0027915,6
ISIC_0063777,6
ISIC_0072340,6
ISIC_0031283,6
ISIC_0072675,6
ISIC_0031304,6
ISIC_0030381,6
ISIC_0010585,6
ISIC_0066002,6
ISIC_0065201,6
ISIC_0030452,6
ISIC_0027251,6
ISIC_0025121,6
ISIC_0000306,6
ISIC_0026380,6
ISIC_0028017,6
ISIC_0012656,6
ISIC_0000476,6
ISIC_0059295,6
ISIC_0029983,6
ISIC_0059421,6
ISIC_0053744,6
ISIC_0063683,6
ISIC_0054444,6
ISIC_0025653,6
ISIC_0064108,6
ISIC_0064033,6
ISIC_0068119,6
ISIC_0055893,6
ISIC_0032393,6
ISIC_0064417,6
ISIC_0027012,6
ISIC_0033419,6
ISIC_0071924,6
ISIC_0033047,6
ISIC_0030907,6
ISIC_0071168,6
ISIC_0015987,6
ISIC_0073181,6
ISIC_0055658,6
ISIC_0071308,6
ISIC_0029566,6
ISIC_0016054,6
ISIC_0056480,6
ISIC_0062710,6
ISIC_0072772,6
ISIC_0061639,6
ISIC_0059598,6
ISIC_0031886,6
ISIC_0071118,6
ISIC_0033412,6
ISIC_0058158,6
ISIC_0032953,6
ISIC_0027443,6
ISIC_0010371,6
ISIC_0026371,6
ISIC_0033005,6
ISIC_0008626,6
ISIC_0056512,6
ISIC_0000068,6
ISIC_0029650,6
ISIC_0053549,6
ISIC_0071748,6
ISIC_0026262,6
ISIC_0033382,6
ISIC_0071758,6
ISIC_0071133,6
ISIC_0057344,6
ISIC_0000154,6
ISIC_0010598,6
ISIC_0056073,6
ISIC_0061404,6
ISIC_0065503,6
ISIC_0056756,6
ISIC_0054761,6
ISIC_0056872,6
ISIC_0073254,6
ISIC_0029520,6
ISIC_0054487,6
ISIC_0026849,6
ISIC_0027238,6
ISIC_0058288,6
ISIC_0032433,6
ISIC_0053523,6
ISIC_0025699,6
ISIC_0066224,6
ISIC_0033954,6
ISIC_0069381,6
ISIC_0012211,6
ISIC_0055312,6
ISIC_0028356,6
ISIC_0032439,6
ISIC_0029225,6
ISIC_0062534,6
ISIC_0062240,6
ISIC_0059585,6
ISIC_0061652,6
ISIC_0067707,6
ISIC_0057059,6
ISIC_0000239,6
ISIC_0033289,6
ISIC_0027596,6
ISIC_0063735,6
ISIC_0065614,6
ISIC_0071108,6
ISIC_0063903,6
ISIC_0058940,6
ISIC_0054901,6
ISIC_0012386,6
ISIC_0057556,6
ISIC_0058661,6
ISIC_0012803,6
ISIC_0058098,6
ISIC_0067179,6
ISIC_0067838,6
ISIC_0029339,6
ISIC_0071471,6
ISIC_0031035,6
ISIC_0030812,6
ISIC_0000060,6
ISIC_0061955,6
ISIC_0057198,6
ISIC_0014931,6
ISIC_0028965,6
ISIC_0030954,6
ISIC_0060486,6
ISIC_0063485,6
ISIC_0000351,6
ISIC_0027264,6
ISIC_0067728,6
ISIC_0072666,6
ISIC_0071414,6
ISIC_0026927,6
ISIC_0061269,6
ISIC_0062911,6
ISIC_0028213,6
ISIC_0012786,6
ISIC_0013037,6
ISIC_0016048,6
ISIC_0032864,6
ISIC_0024999,6
ISIC_0031051,6
ISIC_0072035,6
ISIC_0000282,6
ISIC_0061008,6
ISIC_0026134,6
ISIC_0071501,6
ISIC_0013797,6
ISIC_0025911,6
ISIC_0029165,6
ISIC_0028487,6
ISIC_0070164,6
ISIC_0059604,6
ISIC_0055079,6
ISIC_0057501,6
ISIC_0058858,6
ISIC_0027630,6
ISIC_0011117,6
ISIC_0030544,6
ISIC_0034117,6
ISIC_0058631,6
ISIC_0070217,6
ISIC_0059952,6
ISIC_0056406,6
ISIC_0030632,6
ISIC_0026575,6
ISIC_0031000,6
ISIC_0025863,6
ISIC_0056900,6
ISIC_0033001,6
ISIC_0065796,6
ISIC_0013281,6
ISIC_0073031,6
ISIC_0054705,6
ISIC_0015363,6
ISIC_0027987,6
ISIC_0030667,6
ISIC_0065041,6
ISIC_0070862,6
ISIC_0070617,6
ISIC_0025419,6
ISIC_0008145,6
ISIC_0026860,6
ISIC_0024650,6
ISIC_0071946,6
ISIC_0029318,6
ISIC_0070990,6
ISIC_0024645,6
ISIC_0000524,6
ISIC_0025294,6
ISIC_0029092,6
ISIC_0030790,6
ISIC_0027794,6
ISIC_0058249,6
ISIC_0065342,6
ISIC_0013096,6
ISIC_0061824,6
ISIC_0062660,6
ISIC_0011126,6
ISIC_0060859,6
ISIC_0010440,6
ISIC_0066292,6
ISIC_0012660,6
ISIC_0033060,6
ISIC_0057511,6
ISIC_0056130,6
ISIC_0025629,6
ISIC_0057272,6
ISIC_0033209,6
ISIC_0025996,6
ISIC_0024715,6
ISIC_0031262,6
ISIC_0067175,6
ISIC_0065057,6
ISIC_0067858,6
ISIC_0066009,6
ISIC_0060682,6
ISIC_0063212,6
ISIC_0027296,6
ISIC_0058909,6
ISIC_0068089,6
ISIC_0054923,6
ISIC_0068766,6
ISIC_0062463,6
ISIC_0058950,6
ISIC_0028725,6
ISIC_0030361,6
ISIC_0015201,6
ISIC_0026396,6
ISIC_0028844,6
ISIC_0056643,6
ISIC_0072138,6
ISIC_0069236,6
ISIC_0027853,6
ISIC_0028366,6
ISIC_0073232,6
ISIC_0066190,6
ISIC_0030197,6
ISIC_0072637,6
ISIC_0063313,6
ISIC_0029373,6
ISIC_0015976,6
ISIC_0066834,6
ISIC_0071218,6
ISIC_0073081,6
ISIC_0013383,6
ISIC_0069404,6
ISIC_0055691,6
ISIC_0058224,6
ISIC_0067510,6
ISIC_0034130,6
ISIC_0068057,6
ISIC_0056546,6
ISIC_0057415,6
ISIC_0012333,6
ISIC_0072025,6
ISIC_0073119,6
ISIC_0061281,6
ISIC_0030621,6
ISIC_0024468,6
ISIC_0024641,6
ISIC_0013626,6
ISIC_0029413,6
ISIC_0060698,6
ISIC_0032653,6
ISIC_0032272,6
ISIC_0028900,6
ISIC_0056979,6
ISIC_0054629,6
ISIC_0064617,6
ISIC_0029795,6
ISIC_0027203,6
ISIC_0031760,6
ISIC_0030507,6
ISIC_0067647,6
ISIC_0055375,6
ISIC_0012433,6
ISIC_0068927,6
ISIC_0027215,6
ISIC_0067597,6
ISIC_0063945,6
ISIC_0064148,6
ISIC_0061243,6
ISIC_0053685,6
ISIC_0030057,6
ISIC_0057523,6
ISIC_0000163,6
ISIC_0027405,6
ISIC_0034226,6
ISIC_0060111,6
ISIC_0026980,6
ISIC_0013393,6
ISIC_0024685,6
ISIC_0072474,6
ISIC_0062310,6
ISIC_0027579,6
ISIC_0070899,6
ISIC_0010216,6
ISIC_0062917,6
ISIC_0073136,6
ISIC_0061940,6
ISIC_0030904,6
ISIC_0063720,6
ISIC_0033222,6
ISIC_0032848,6
ISIC_0055609,6
ISIC_0063994,6
ISIC_0055486,6
ISIC_0055305,6
ISIC_0065804,6
ISIC_0060660,6
ISIC_0056241,6
ISIC_0026623,6
ISIC_0014618,6
ISIC_0011081,6
ISIC_0067346,6
ISIC_0069406,6
ISIC_0012493,6
ISIC_0069184,6
ISIC_0024821,6
ISIC_0067159,6
ISIC_0053660,6
ISIC_0068673,6
ISIC_0054461,6
ISIC_0012706,6
ISIC_0061679,6
ISIC_0033082,6
ISIC_0070113,6
ISIC_0014163,6
ISIC_0025487,6
ISIC_0069098,6
ISIC_0025901,6
ISIC_0070463,6
ISIC_0064493,6
ISIC_0025673,6
ISIC_0032927,6
ISIC_0059435,6
ISIC_0069264,6
ISIC_0063662,6
ISIC_0056940,6
ISIC_0026912,6
ISIC_0070875,6
ISIC_0031233,6
ISIC_0055840,6
ISIC_0069619,6
ISIC_0033435,6
ISIC_0012148,6
ISIC_0056707,6
ISIC_0060764,6
ISIC_0059240,6
ISIC_0069422,6
ISIC_0064576,6
ISIC_0030902,6
ISIC_0054368,6
ISIC_0072895,6
ISIC_0014936,6
ISIC_0060948,6
ISIC_0072290,6
ISIC_0028969,6
ISIC_0066461,6
ISIC_0059546,6
ISIC_0068577,6
ISIC_0000250,6
ISIC_0063439,6
ISIC_0061899,6
ISIC_0024674,6
ISIC_0062756,6
ISIC_0053983,6
ISIC_0010168,6
ISIC_0063250,6
ISIC_0070104,6
ISIC_0066098,6
ISIC_0033779,6
ISIC_0034155,6
ISIC_0031195,6
ISIC_0030369,6
ISIC_0032974,6
ISIC_0063631,6
ISIC_0061696,6
ISIC_0064281,6
ISIC_0014979,6
ISIC_0060302,6
ISIC_0013995,6
ISIC_0064548,6
ISIC_0031699,6
ISIC_0061092,6
ISIC_0030650,6
ISIC_0025210,6
ISIC_0034202,6
ISIC_0070375,6
ISIC_0033111,6
ISIC_0030302,6
ISIC_0057077,6
ISIC_0062163,6
ISIC_0027337,6
ISIC_0026678,6
ISIC_0062684,6
ISIC_0056393,6
ISIC_0028580,6
ISIC_0012544,6
ISIC_0056229,6
ISIC_0032384,6
ISIC_0065666,6
ISIC_0058246,6
ISIC_0026605,6
ISIC_0014327,6
ISIC_0061905,6
ISIC_0033510,6
ISIC_0014904,6
ISIC_0012990,6
ISIC_0000205,6
ISIC_0071797,6
ISIC_0024629,6
ISIC_0008236,6
ISIC_0015455,6
ISIC_0025328,6
ISIC_0010025,6
ISIC_0054865,6
ISIC_0026502,6
ISIC_0033814,6
ISIC_0027865,6
ISIC_0063369,6
ISIC_0069669,6
ISIC_0014797,6
ISIC_0068489,6
ISIC_0034162,6
ISIC_0061209,6
ISIC_0064343,6
ISIC_0033069,6
ISIC_0057754,6
ISIC_0063546,6
ISIC_0061964,6
ISIC_0067389,6
ISIC_0032229,6
ISIC_0032517,6
ISIC_0013799,6
ISIC_0015233,6
ISIC_0063946,6
ISIC_0010342,6
ISIC_0058586,6
ISIC_0062265,6
ISIC_0061186,6
ISIC_0063352,6
ISIC_0025842,6
ISIC_0033423,6
ISIC_0070860,6
ISIC_0054933,6
ISIC_0071623,6
ISIC_0060039,6
ISIC_0058711,6
ISIC_0031556,6
ISIC_0027821,6
ISIC_0072380,6
ISIC_0031850,6
ISIC_0024407,6
ISIC_0027187,6
ISIC_0029484,6
ISIC_0065192,6
ISIC_0060098,6
ISIC_0071408,6
ISIC_0031006,6
ISIC_0059714,6
ISIC_0028525,6
ISIC_0013208,6
ISIC_0033894,6
ISIC_0057481,6
ISIC_0029956,6
ISIC_0014222,6
ISIC_0056661,6
ISIC_0027222,6
ISIC_0033116,6
ISIC_0055940,6
ISIC_0025347,6
ISIC_0071850,6
ISIC_0073004,6
ISIC_0014867,6
ISIC_0029859,6
ISIC_0058010,6
ISIC_0065439,6
ISIC_0011310,6
ISIC_0011120,6
ISIC_0032244,6
ISIC_0058852,6
ISIC_0055853,6
ISIC_0062718,6
ISIC_0029578,6
ISIC_0027891,6
ISIC_0000204,6
ISIC_0061181,6
ISIC_0072767,6
ISIC_0061014,6
ISIC_0069879,6
ISIC_0028353,6
ISIC_0061858,6
ISIC_0058443,6
ISIC_0031117,6
ISIC_0062231,6
ISIC_0032596,6
ISIC_0030879,6
ISIC_0033074,6
ISIC_0067163,6
ISIC_0056176,6
ISIC_0072363,6
ISIC_0030246,6
ISIC_0026336,6
ISIC_0025024,6
ISIC_0067927,6
ISIC_0061085,6
ISIC_0063381,6
ISIC_0026951,6
ISIC_0062706,6
ISIC_0054655,6
ISIC_0056118,6
ISIC_0013800,6
ISIC_0030553,6
ISIC_0029585,6
ISIC_0059941,6
ISIC_0056614,6
ISIC_0024344,6
ISIC_0068401,6
ISIC_0053769,6
ISIC_0068827,6
ISIC_0060467,6
ISIC_0073225,6
ISIC_0024918,6
ISIC_0060041,6
